Medicine Name,href,Info
Acrivastine and Pseudoephedrine ,https://www.medindia.net/doctors/drug_information/acrivastine_pseudoephedrine.htm,"Acrivastine and Pseudoephedrine is a fixed combination of non-sedating antiallergic (acrivastine), and a nasal decongestant (pseudoephedrine) prescribed to relieve symptoms of allergic rhinitis such as sneezing, rhinorrhea, pruritus, lacrimation, and nasal congestion."
Acyclovir                                          ,https://www.medindia.net/doctors/drug_information/acyclovir.htm,"Aciclovir or acyclovir is an antiviral agent used to treat cold sores around the mouth caused by the herpes simplex virus, chickenpox, and shingles."
Acyclovir And Hydrocortisone ,https://www.medindia.net/doctors/drug_information/acyclovir_hydrocortisone.htm,"Acyclovir and hydrocortisone contain acyclovir, an antiviral agent used to treat cold sores or fever blisters caused by the virus and a steroid, hydrocortisone helps to relieve the pain, itching and the burning sensation."
Adalimumab ,https://www.medindia.net/doctors/drug_information/adalimumab.htm,"Adalimumab is prescribed to treat autoimmune disorders such as rheumatoid arthritis, ulcerative colitis, Crohn's disease, psoriatic arthritis, ankylosing spondylitis, and juvenile idiopathic arthritis."
Adapalene ,https://www.medindia.net/doctors/drug_information/adapalene.htm,Adapalene is a topical retinoid-like compound used to treat mild to moderate acne by preventing the formation of pimples acting deeply in the source.
Adapalene and Benzoyl Peroxide ,https://www.medindia.net/doctors/drug_information/adapalene_benzoyl_peroxide.htm,Adapalene and benzoyl peroxide combination is used to treat severe acne.
Adefovir Dipivoxil   ,https://www.medindia.net/doctors/drug_information/adefovir_dipivoxil.htm,"Adefovir Dipivoxil is an antiviral agent prescribed to treat hepatitis B, a chronic viral infection of the liver in patients 12 years and above."
Ademetionine ,https://www.medindia.net/doctors/drug_information/ademetionine.htm,"Ademetionine is used for treating chronic liver disease such as intrahepatic cholestasis, a condition related to reduced bile flow resulting in accumulation."
Adenosine ,https://www.medindia.net/doctors/drug_information/adenosine.htm,Adenosine is used as an antiarrhythmic agent prescribed to treat specific conditions of  irregular heartbeat and also used while performing a stress test of the heart.
Adenosylcobalamin ,https://www.medindia.net/doctors/drug_information/adenosylcobalamin.htm,"Adenosylcobalamin is an active form of vitamin B12, a water-soluble vitamin used as a nutritional supplement to treat vitamin B12 deficiency or pernicious anemia, stomatitis, as well as for other conditions like depression, panic attacks and anxiety."
Ado-trastuzumab Emtansine ,https://www.medindia.net/doctors/drug_information/adotrastuzumab_emtansine.htm,"Ado-trastuzumab Emtansine is used to treat HER2-positive metastatic breast cancer, a specific type of breast cancer that has moved to other parts of the body."
Adrenochrome monosemicarbazone / Carbazochrome ,https://www.medindia.net/doctors/drug_information/adrenochrome_monosemicarbazone_carbazochrome.htm,"Adrenochrome monosemicarbazone is used for the treatment of hematuria (blood in the urine), retinal hemorrhage (bleeds in the retina of the eye), epistaxis (bleeding from the nose), secondary bleeding from wounds, uterine bleeding and preoperatively to reduce  bleeding."
Aducanumab ,https://www.medindia.net/doctors/drug_information/aducanumab.htm,Aducanumab is an amyloid beta-directed antibody prescribed for treating Alzheimers disease.
Afatinib ,https://www.medindia.net/doctors/drug_information/afatinib.htm," Afatinib is prescribed as a first-line treatment to treat non-small cell lung cancer, a specific type of lung cancer that has moved to nearby tissues or other body parts in patients who have specific non-epidermal growth factor receptor (EGFR) mutations detected by an FDA-approved test."
Agalsidase  ,https://www.medindia.net/doctors/drug_information/agalsidase.htm,Agalsidase is prescribed for treating patients with Fabry disease; a rare genetic disorder occurs due to a deficiency of alpha-galactosidase-A (an enzyme responsible for breaking down fat).
Albendazole ,https://www.medindia.net/doctors/drug_information/albendazole.htm,"Albendazole is an antihelminthic drug prescribed for treating a variety of parasitic worm infestations such as ascariasis, filariasis or roundworm disease, giardiasis, trichuriasis, pinworm disease, neurocysticercosis, and hydatid disease."
Albumin Human ,https://www.medindia.net/doctors/drug_information/albumin_human.htm,"Albumin human is derived from human plasma, used to treat shock as a result of blood loss in the body (hypovolemia), burns, low protein levels (hypoproteinemia) due to surgery or liver failure, adult respiratory distress syndrome, dialysis, and as an additional medicine in bypass surgery."
Albuterol (Salbutamol)                             ,https://www.medindia.net/doctors/drug_information/albuterol_salbutamol.htm,"Albuterol or salbutamol is a short-acting β2-adrenergic receptor agonist, used to prevent and treat wheezing, shortness of breath, coughing, and chest tightness caused by lung diseases such as asthma and chronic obstructive pulmonary disease (COPD); a group of diseases that affect the lungs and airways."
Albuterol and Ipratropium ,https://www.medindia.net/doctors/drug_information/albuterol_ipratropium.htm,"Albuterol or salbutamol and Ipratropium combination is prescribed to prevent wheezing, difficulty in breathing, chest tightness, and coughing in chronic obstructive pulmonary disease (COPD) such as chronic bronchitis (swelling of the air passages that lead to the lungs) and emphysema (damage to the air sacs in the lungs)."
Alcaftadine Ophthalmic Solution ,https://www.medindia.net/doctors/drug_information/alcaftadine_ophthalmic_solution.htm,Alcaftadine ophthalmic solution is an antiallergic agent prescribed to treat or prevent itching due to eye irritation or pink eye associated with allergic conjunctivitis.
Alclometasone  ,https://www.medindia.net/doctors/drug_information/alclometasone.htm,"Alclometasone is a steroid medication prescribed to treat a variety of skin disorders such as atopic dermatitis, eczema, contact dermatitis, allergic dermatitis, and rashes."
Alclometasone Dipropionate  ,https://www.medindia.net/doctors/drug_information/alclometasone_dipropionate.htm,"Alclometasone is a synthetic steroid medication prescribed to treat variety of skin disorders such as atopic dermatitis, eczema, contact dermatitis, allergic dermatitis, and rashes aiming to reduce the itching, swelling, and redness."
Aldesleukin ,https://www.medindia.net/doctors/drug_information/aldesleukin.htm,Aldesleukin is a cancer-treating drug prescribed for treating advanced kidney cancer or renal cell carcinoma and metastatic skin cancer that has spread to other parts of the body.
Alectinib ,https://www.medindia.net/doctors/drug_information/alectinib.htm,Alectinib is prescribed for the treatment of a certain type (anaplastic lymphoma kinase (ALK)-positive) of non-small cell lung cancer that has spread to other parts of the body.
Alefacept ,https://www.medindia.net/doctors/drug_information/alefacept.htm,Alefacept is a genetically modified immunosuppressive drug prescribed for treating moderate to severe chronic plaque psoriasis in adult patients who are candidates for phototherapy or systemic therapy.
Alemtuzumab   ,https://www.medindia.net/doctors/drug_information/alemtuzumab.htm,Alemtuzumab is a cancer-treating drug used for treating certain cancers of bone marrow and blood cancers such as chronic lymphocytic leukemia (CLL) and lymphoma.
Alendronate ,https://www.medindia.net/doctors/drug_information/alendronate.htm,Alendronate is used to treat or prevent osteoporosis or bone thinning in men and post-menopausal women and Paget's disease or bone deformity.
Alfacalcidol ,https://www.medindia.net/doctors/drug_information/alfacalcidol.htm,Alfacalcidol related to vitamin D used as a supplementation for treating vitamin D deficiencies such as osteomalacia and rickets.
Alfentanil Hydrochloride Injection ,https://www.medindia.net/doctors/drug_information/alfentanil_hydrochloride_injection.htm,Alfentanil hydrochloride injection is a powerful morphine-like drug used for relieving the pain during the surgery with general anesthesia.
Alfuzosin ,https://www.medindia.net/doctors/drug_information/alfuzosin.htm,Alfuzosin is used to treat an enlarged prostate or benign prostatic hyperplasia (BPH) symptoms in men by relaxing the muscles in the prostate and bladder neck and helps to urinate easily.
Alglucerase injection   ,https://www.medindia.net/doctors/drug_information/alglucerase_injection.htm,"Alglucerase injection is as an enzyme replacement therapy in patients diagnosed with type I Gauchers disease, a genetic disorder with symptoms and signs of anemia or bleeding tendency, liver disorder, and bone disease."
Alglucosidase ,https://www.medindia.net/doctors/drug_information/alglucosidase.htm,"Alglucosidase is an enzyme replacement therapy used for treating Pompe disease, a rare metabolic disorder that damages the muscles and nerves caused due to the accumulation of glycogen in the lysosome."
Aliskiren ,https://www.medindia.net/doctors/drug_information/aliskiren.htm,"Aliskiren alone or in combination with other drugs used to treat essential or primary hypertension, a form of hypertension that occurs with no identifiable cause."
Aliskiren and Amlodipine ,https://www.medindia.net/doctors/drug_information/aliskiren_amlodipine.htm,Aliskiren and amlodipine in combination work effectively in reducing the high blood pressure or hypertension resulting in relaxation of blood vessels; therefore blood can flow very smoothly.
Aliskiren and hydrochlorothiazide   ,https://www.medindia.net/doctors/drug_information/aliskiren_hydrochlorothiazide.htm,Aliskiren and hydrochlorothiazide combination helps to reduce the high blood pressure or hypertension that reduces the workload on the heart and the blood vessels.
Aliskiren and valsartan   ,https://www.medindia.net/doctors/drug_information/aliskiren_valsartan.htm,"Aliskiren and valsartan combination is prescribed for reducing high blood pressure or hypertension which damages heart, kidneys and the blood vessels."
"Aliskiren, Amlodipine and Hydrochlorothiazide  ",https://www.medindia.net/doctors/drug_information/aliskiren_amlodipine_hydrochlorothiazide.htm,"Aliskiren, Amlodipine and Hydrochlorothiazide combination is prescribed for decreasing high blood pressure or hypertension and helps in reducing the complications related to heart mainly stroke or heart attack."
Allantoin ,https://www.medindia.net/doctors/drug_information/allantoin.htm,"Allantoin is used as a moisturizing agent to prevent or treat various skin disorders such as dry, itchy, scaly skin or the psoriasis symptoms and for specific skin irritations such as minor burns due to radiotherapy or a diaper rash."
Allopurinol                                        ,https://www.medindia.net/doctors/drug_information/allopurinol.htm,Allopurinol is prescribed to treat gouty arthritis and prevent specific kidney stones by reducing high uric acid levels in the blood.
Allylestrenol ,https://www.medindia.net/doctors/drug_information/allylestrenol.htm,Allylestrenol is a hormone preparation used to treat repeated or threatened miscarriages and to prevent premature birth in pregnant women.
Almotriptan ,https://www.medindia.net/doctors/drug_information/almotriptan.htm,"Almotriptan is prescribed to treat a headache caused due to migraine attacks with or without aura, a perception or sensitivity to light, strange noise, and unpleasant smell with confusing thoughts."
Alogliptin ,https://www.medindia.net/doctors/drug_information/alogliptin.htm,Alogliptin is prescribed to reduce high blood sugar level in patients with type 2 diabetes along with diet control and exercise.
Alogliptin and Metformin ,https://www.medindia.net/doctors/drug_information/alogliptin_metformin.htm,Alogliptin and Metformin combination is used along with diet and exercise to improve blood sugar control or to treat hyperglycemia in patients with type 2 diabetes.
Alogliptin and Pioglitazone  ,https://www.medindia.net/doctors/drug_information/alogliptin_pioglitazone.htm,Alogliptin and Pioglitazone combination is used to treat high blood sugar level in patients with type 2 diabetes along with diet control and exercise.
Alpelisib ,https://www.medindia.net/doctors/drug_information/alpelisib.htm,Alpelisib is an anticancer drug that is indicated for the treatment of advanced or metastatic breast cancer in postmenopausal women and men.
Alpha galactosidase ,https://www.medindia.net/doctors/drug_information/alpha_galactosidase.htm,Alpha-d-galactosidase is an enzyme used to digest complex carbohydrates in the food and helps in digestion.
Alpha One-proteinase inhibitor   ,https://www.medindia.net/doctors/drug_information/alpha_oneproteinase_inhibitor.htm,"Alpha One-proteinase inhibitor is prescribed to treat alpha -1 antitrypsin deficiency, a genetic disorder which may lead to lung damage or emphysema (damage to the air spaces in the lungs)."
Alpha-linolenic acid ,https://www.medindia.net/doctors/drug_information/alphalinolenic_acid.htm,"Alpha-linolenic acid is used to prevent or treat the disease of heart and blood vessels by reducing the risk of heart disease or heart attack, plaque(fatty build-up) formations in arteries serving the heart, and high blood pressure."
Alprazolam ,https://www.medindia.net/doctors/drug_information/alprazolam.htm,"Alprazolam is a benzodiazepine, prescribed for anxiety and panic disorders."
Alprostadil ,https://www.medindia.net/doctors/drug_information/alprostadil.htm,"Alprostadil is a vasodilator, prescribed for erectile dysfunction (impotence; inability to get or keep an erection) in men."
Alteplase ,https://www.medindia.net/doctors/drug_information/alteplase.htm,"Alteplase is an enzyme (tissue plasminogen activator (tPA)), prescribed for heart attack, stroke, and pulmonary embolism."
Altretamine ,https://www.medindia.net/doctors/drug_information/altretamine.htm,"Altretamine is an antineoplastic alkylating agent, prescribed for certain types of cancer such as ovarian cancer."
Aluminum Hydroxide and Magnesium Hydroxide ,https://www.medindia.net/doctors/drug_information/aluminum_hydroxide_magnesium_hydroxide.htm,"Aluminum Hydroxide and Magnesium Hydroxide contains antacids, prescribed for preventing ulcers, heartburn relief, acid indigestion and stomach upsets."
Alvimopan Capsules  ,https://www.medindia.net/doctors/drug_information/alvimopan_capsules.htm,"Alvimopan Capsules  is an opioid receptor blocker, prescribed for bowel recovery (postoperative ileus) more quickly after bowel surgery."
Amantadine ,https://www.medindia.net/doctors/drug_information/amantadine.htm,"Amantadine is a synthetic (man-made) anti-viral and antiparkinson agent, prescribed for Parkinson's disease and also for treating certain types of flu."
Ambenonium ,https://www.medindia.net/doctors/drug_information/ambenonium.htm,Ambenonium is a cholinesterase inhibitor used in the treatment of myasthenia gravis.
Ambrisentan ,https://www.medindia.net/doctors/drug_information/ambrisentan.htm,"Ambrisentan is an endothelin receptor antagonist, prescribed for pulmonary atrial hypertension (high blood pressure in the lungs)."
Ambroxol ,https://www.medindia.net/doctors/drug_information/ambroxol.htm,"Ambroxol is a mucolytic agent, prescribed for various respiratory diseases such as emphysema with bronchitis pneumoconiosis, chronic inflammatory pulmonary conditions, tracheobronchitis (respiratory tract inflammation), bronchiectasis, bronchitis with bronchospasm asthma."
Amcinonide ,https://www.medindia.net/doctors/drug_information/amcinonide.htm,"Amcinonide is a topical glucocorticoid, prescribed for skin inflammation and itching."
Amifampridine ,https://www.medindia.net/doctors/drug_information/amifampridine.htm,Amifampridine is prescribed for treating muscle disorders such as Lambert-Eaton myasthenic syndrome (LEMS) among adults.
Amifostine ,https://www.medindia.net/doctors/drug_information/amifostine.htm,"Amifostine is a cytoprotective agent, prescribed for preventing kidney damage due to chemotherapy and reducing the mouth dryness due to radiation therapy."
Amikacin ,https://www.medindia.net/doctors/drug_information/amikacin.htm,"Amikacin is an aminoglycoside antibiotic, prescribed for serious bacterial infections."
Amiloride ,https://www.medindia.net/doctors/drug_information/amiloride.htm,Amiloride is a potassium-sparing diuretic or water pill.
Amiloride and Hydrochlorothiazide ,https://www.medindia.net/doctors/drug_information/amiloride_hydrochlorothiazide.htm,"Amiloride and Hydrochlorothiazide contains diuretics, prescribed for hypertension and congestive heart failure."
Aminocaproic Acid ,https://www.medindia.net/doctors/drug_information/aminocaproic_acid.htm,"Aminocaproic Acid is an antidote, prescribed for excessive bleeding caused by fibrinolytic drugs."
Aminoglutethimide ,https://www.medindia.net/doctors/drug_information/aminoglutethimide.htm,"Aminoglutethimide is an adrenal steroid inhibitor, prescribed for Cushing syndrome."
Aminohippurate Sodium  ,https://www.medindia.net/doctors/drug_information/aminohippurate_sodium.htm,"Aminohippurate Sodium  is a diagnostic agent, prescribed for measuring renal function."
Aminolevulinic acid   ,https://www.medindia.net/doctors/drug_information/aminolevulinic_acid.htm,"Aminolevulinic acid is a photosensitizing agent, prescribed for actinic keratoses of the face or scalp."
Aminophylline ,https://www.medindia.net/doctors/drug_information/aminophylline.htm,"Aminophylline is a bronchodilator, prescribed for symptoms of asthma, bronchitis and emphysema."
Amiodarone ,https://www.medindia.net/doctors/drug_information/amiodarone.htm,Amiodarone is used to treat life-threatening irregular heart rhythms (arrhythmias) and to maintain a normal heart rate in patients who have not responded to other medications.
Amisulpride ,https://www.medindia.net/doctors/drug_information/amisulpride.htm,"Amisulpride is an atypical antipsychotic agent, prescribed for schizophrenia."
Amitriptyline ,https://www.medindia.net/doctors/drug_information/amitriptyline.htm,"Amitriptyline is a tricyclic antidepressant, prescribed for depression."
Amitriptyline and Perphenazine ,https://www.medindia.net/doctors/drug_information/amitriptyline_perphenazine.htm,"Amitriptyline and Perphenazine is a phenothiazine and tricyclic antidepressant combination, prescribed for anxiety and depression."
Amlexanox  ,https://www.medindia.net/doctors/drug_information/amlexanox.htm,"Amlexanox  is an anti-allergic and anti-inflammatory agent, prescribed for aphthous ulcers or canker sores in people with normal immune systems."
Amlodipine ,https://www.medindia.net/doctors/drug_information/amlodipine.htm,"Amlodipine is a calcium channel blocker, prescribed for high blood pressure and chest pain."
Amlodipine and Benazepril ,https://www.medindia.net/doctors/drug_information/amlodipine_benazepril.htm,Amlodipine and Benazepril is used to treat high blood pressure (hypertension).
Amlodipine and Enalapril ,https://www.medindia.net/doctors/drug_information/amlodipine_enalapril.htm,Amlodipine and Enalapril is prescribed for hypertension in some types of chronic heart failure.
Amlodipine and Lisinopril ,https://www.medindia.net/doctors/drug_information/amlodipine_lisinopril.htm,"Amlodipine and Lisinopril contains ACE inhibitors, prescribed for hypertension."
Amlodipine and Losartan ,https://www.medindia.net/doctors/drug_information/amlodipine_losartan.htm,"Amlodipine and Losartan contains calcium channel blocker and angiotensin II receptor antagonist, prescribed for mild to moderate hypertension."
Amlodipine and Olmesartan ,https://www.medindia.net/doctors/drug_information/amlodipine_olmesartan.htm,"Amlodipine and Olmesartan contains calcium channel blocker and angiotensin II receptor blocker, prescribed for high blood pressure."
Amlodipine and Valsartan ,https://www.medindia.net/doctors/drug_information/amlodipine_valsartan.htm,"Amlodipine and Valsartan contains a calcium channel blocker and an angiotensin II receptor antagonist, prescribed for high blood pressure (hypertension)."
Amlodipine Hydrochlorothiazide and Olmesartan ,https://www.medindia.net/doctors/drug_information/amlodipine_hydrochlorothiazide_olmesartan.htm,"Amlodipine Hydrochlorothiazide and Olmesartan contains amlodipine which is a channel blocker, Olmesartan an angiotensin II receptor blocker, and thiazide diuretic, prescribed for high blood pressure."
"Amlodipine, Valsartan and Hydrochlorothiazide ",https://www.medindia.net/doctors/drug_information/amlodipine_valsartan_hydrochlorothiazide.htm,"Amlodipine, Valsartan and Hydrochlorothiazide contains calcium channel blocker, angiotensin II receptor blocker, and thiazide diuretic, prescribed for high blood pressure."
Ammonium Lactate ,https://www.medindia.net/doctors/drug_information/ammonium_lactate.htm,"Ammonium Lactate is a moisturizer, prescribed for dry, scaly, itchy skin normally used along with other medications."
Amobarbital ,https://www.medindia.net/doctors/drug_information/amobarbital.htm,"Amobarbital is a barbiturate derivative, prescribed for anxiety, insomnia and induction of preanesthetic sedation."
Amodiaquine ,https://www.medindia.net/doctors/drug_information/amodiaquine.htm,"Amodiaquine is an antimalarial agent, prescribed for malaria either alone or with other medications."
Amorolfine ,https://www.medindia.net/doctors/drug_information/amorolfine.htm,"Amorolfine is a topical antibiotic, prescribed for toenail infections and skin fungal infections."
Amoxapine ,https://www.medindia.net/doctors/drug_information/amoxapine.htm,"Amoxapine is a tricyclic antidepressant, prescribed for depression."
Amoxicillin ,https://www.medindia.net/doctors/drug_information/amoxicillin.htm,"Amoxicillin is a penicillin-like , β-lactam antibiotic."
Amoxicillin and Bromhexine ,https://www.medindia.net/doctors/drug_information/amoxicillin_bromhexine.htm,Amoxicillin and Bromhexine contains penicillin antibiotic and mucolytic agent.
Amoxicillin and Carbocisteine ,https://www.medindia.net/doctors/drug_information/amoxicillin_carbocisteine.htm,Amoxicillin and Carbocisteine contains penicillin antibiotic and mucolytic agent.
Amoxicillin and Clavulanate Potassium              ,https://www.medindia.net/doctors/drug_information/amoxicillin_clavulanate_potassium.htm,"Amoxicillin and Clavulanate Potassium              contains semisynthetic antibiotic amoxicillin and β-lactamase inhibitor, prescribed for lower respiratory infections, otitis media, sinusitis, urinary tract infections, and skin Structure infections."
Amoxicillin and Clavulanic acid ,https://www.medindia.net/doctors/drug_information/amoxicillin_clavulanic_acid.htm,"Amoxicillin and Clavulanic acid is a combination of β-lactam antibiotic, and a β-lactamase inhibitor (potassium clavulanate) prescribed to treat infections of the ears, lungs, sinus, skin, and urinary tract."
Ampenavir ,https://www.medindia.net/doctors/drug_information/ampenavir.htm,"Ampenavir is a protease inhibitor, prescribed for HIV/AIDS in combination with at least two other antiviral medications."
"Amphetamine, Dextroamphetamine Mixed Salts ",https://www.medindia.net/doctors/drug_information/amphetamine_dextroamphetamine_mixed_salts.htm,"Amphetamine, Dextroamphetamine Mixed Salts belongs to central nervous system stimulants class, prescribed for attention deficit hyperactivity disorder (ADHD) with counseling and special education."
Amphotericin B ,https://www.medindia.net/doctors/drug_information/amphotericin_b.htm,"Amphotericin B is an antibiotic, prescribed for life-threatening fungal infections."
Ampicillin ,https://www.medindia.net/doctors/drug_information/ampicillin.htm,"Ampicillin is beta-lactam antibiotic, prescribed for certain types of bacterial infections such as UTI, meningitis, gonorrhea, pneumonia, bronchitis, ear, lung, skin and respiratory tract infections."
Ampicillin and Sulbactam ,https://www.medindia.net/doctors/drug_information/ampicillin_sulbactam.htm,"Ampicillin and Sulbactam is a penicillin antibiotic, prescribed for susceptible bacterial infections like skin infections, gynecological infections or infections of the abdomen either alone or with other medications."
Amsacrine ,https://www.medindia.net/doctors/drug_information/amsacrine.htm,"Amsacrine is an antineoplastic agent, prescribed for malignant lymphoma and acute adult lymphoblastic leukemia."
Amyl Nitrite  ,https://www.medindia.net/doctors/drug_information/amyl_nitrite.htm,"Amyl Nitrite  is a muscle relaxant, prescribed for angina pectoris."
Anagrelide ,https://www.medindia.net/doctors/drug_information/anagrelide.htm,Anagrelide is a platelet-reducing agent prescribed for thrombocythemia.
Anakinra ,https://www.medindia.net/doctors/drug_information/anakinra.htm,"Anakinra is a recombinant human interleukin 1 antagonist, prescribed for reducing the pain and swelling associated with moderate to severe rheumatoid arthritis either alone or in combination with methotrexate to patients (18 years or older) who have had an absence of clinical improvement of symptoms or inadequate response in therapy with one or more disease-modifying anti-rheumatic drugs (DMARDs)."
Anastrozole ,https://www.medindia.net/doctors/drug_information/anastrozole.htm,"Anastrozole is a non-steroidal inhibitor used with other treatments, such as surgery or radiation, to treat early breast cancer in women who have experienced menopause."
Angiotensin II ,https://www.medindia.net/doctors/drug_information/angiotensin_ii.htm,Angiotensin II is a synthetic human vasoconstrictor which is prescribed for increasing blood pressure in adult patients to treat low blood pressure with septic shock or distributive shock.
